2020-09-10 | 17:38:02.957 | Test worker          |  INFO | s.Sprint1ApplicationTests | ID:          | Starting Sprint1ApplicationTests on ip-172-31-2-121 with PID 31522 (started by root in /home/ubuntu/recorder/backend/sprint1)
2020-09-10 | 17:38:02.959 | Test worker          |  INFO | s.Sprint1ApplicationTests | ID:          | The following profiles are active: local
2020-09-10 | 17:38:04.892 | Test worker          |  INFO | toryConfigurationDelegate | ID:          | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-09-10 | 17:38:05.006 | Test worker          |  INFO | toryConfigurationDelegate | ID:          | Finished Spring Data repository scanning in 103ms. Found 6 JPA repository interfaces.
2020-09-10 | 17:38:06.051 | Test worker          |  INFO | $BeanPostProcessorChecker | ID:          | Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@63ec93d6' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-10 | 17:38:06.093 | Test worker          |  INFO | $BeanPostProcessorChecker | ID:          | Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-10 | 17:38:06.374 | Test worker          |  INFO | c.z.h.HikariDataSource    | ID:          | HikariPool-1 - Starting...
2020-09-10 | 17:38:06.942 | Test worker          |  INFO | c.z.h.HikariDataSource    | ID:          | HikariPool-1 - Start completed.
2020-09-10 | 17:38:07.047 | Test worker          |  INFO | o.h.j.i.util.LogHelper    | ID:          | HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2020-09-10 | 17:38:07.211 | Test worker          |  INFO | org.hibernate.Version     | ID:          | HHH000412: Hibernate Core {5.3.17.Final}
2020-09-10 | 17:38:07.217 | Test worker          |  INFO | o.h.cfg.Environment       | ID:          | HHH000206: hibernate.properties not found
2020-09-10 | 17:38:07.526 | Test worker          |  INFO | o.h.a.common.Version      | ID:          | HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2020-09-10 | 17:38:07.765 | Test worker          |  INFO | o.h.dialect.Dialect       | ID:          | HHH000400: Using dialect: com.swm.sprint1.config.MysqlCustomDialect
2020-09-10 | 17:38:09.039 | Test worker          |  INFO | rEntityManagerFactoryBean | ID:          | Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-09-10 | 17:38:11.429 | Test worker          |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Initializing ExecutorService 'clientInboundChannelExecutor'
2020-09-10 | 17:38:11.444 | Test worker          |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Initializing ExecutorService 'clientOutboundChannelExecutor'
